"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"MAGO12K","1","6","2","0","1","0","379.31888","0","1","3","3","alive","0","0","138.35039","10","1553","4231.9992","1492.3679","2739.6313","-","1-MAGO12K-M4T4_BOI-Ibuprofeno_800mg-Ypnus"
"M4T4_BOI","1","8","1","0","1","0","234.72864","1","1","1","6","alive","0","0","40.34473","10","1553","1431.9582","848.1448","583.8134","-","1-MAGO12K-M4T4_BOI-Ibuprofeno_800mg-Ypnus"
"Ibuprofeno_800mg","1","5","2","0","1","1","257.41797","0","3","7","6","alive","0","0","154.72626","5","1553","3790.5121","1384.2651","2406.247","-","1-MAGO12K-M4T4_BOI-Ibuprofeno_800mg-Ypnus"
"Ypnus","1","16","0","0","0","0","255.58798","0","0","1","6","alive","0","0","-","7","1553","3795.8177","1378.6512","2417.1665","-","1-MAGO12K-M4T4_BOI-Ibuprofeno_800mg-Ypnus"
"xJMaRcox","2","17","0","0","0","0","66.37691","2","0","8","5","byzone","0","0","-","5","1548","13837.327","9500.907","4336.42","-","2-xJMaRcox-Perobinha-Perobande-AdriMau"
"Perobinha","2","2","5","0","2","2","392.98434","0","3","1","9","byplayer","1","0","213.88478","7","1456","13521.8556","9528.715","3993.1406","-","2-xJMaRcox-Perobinha-Perobande-AdriMau"
"Perobande","2","7","2","0","1","0","600.9805","3","4","8","3","byzone","0","0","193.66039","8","1550","13486.881","9500.561","3986.32","-","2-xJMaRcox-Perobinha-Perobande-AdriMau"
"AdriMau","2","9","1","0","1","1","181.054","1","1","3","7","byplayer","1","0","214.85005","7","1455","13290.19","9119.54","4170.65","-","2-xJMaRcox-Perobinha-Perobande-AdriMau"
"llLordSparkll","3","18","0","0","0","0","182.63855","0","0","3","11","byplayer","0","0","-","7","1525","12663.7827","9026.479","3637.3037","-","3-llLordSparkll-vim_do_lite-Oboneco-koszz"
"vim_do_lite","3","19","0","0","0","0","55.33463","1","0","1","5","byplayer","0","0","-","10","1188","11214.8689","8303.426","2911.4429","-","3-llLordSparkll-vim_do_lite-Oboneco-koszz"
