"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Perobinha","1","3","1","0","1","0","412.97455","3","1","8","9","alive","0","0","37.00728","19","1458","4687.1218","2428.3943","2258.7275","-","1-Perobinha-AdriMau-Perobande"
"AdriMau","1","11","0","0","0","0","51.44412","0","0","0","1","byplayer","0","0","-","4","762","8354.246","6218.315","2135.931","-","1-Perobinha-AdriMau-Perobande"
"Perobande","1","1","8","0","2","1","1158.2522","0","8","4","8","alive","1","0","64.95071","9","1458","5993.7373","2170.2236","3823.5137","-","1-Perobinha-AdriMau-Perobande"
"Oboneco","2","4","1","0","1","0","177.61678","1","0","1","4","suicide","1","0","444.98285","9","1233","8037.6225","6658.674","1378.9485","-","2-Oboneco-koszz-llLordSparkll"
"koszz","2","2","2","0","1","1","351.33698","0","1","2","5","byzone","0","0","167.93729","6","1455","11264.9604","8598.238","2666.7224","-","2-Oboneco-koszz-llLordSparkll"
"llLordSparkll","2","12","0","0","0","0","106.75177","0","0","5","6","suicide","0","0","-","10","1455","10769.7804","8125.0684","2644.712","-","2-Oboneco-koszz-llLordSparkll"
"AnDreviZ","3","13","0","0","0","0","100","0","1","9","6","byplayer","0","0","-","8","1448","12267.663","8422.704","3844.959","-","3-AnDreviZ-WF_PROZIN-PrivacKadall"
"WF_PROZIN","3","5","1","0","1","0","34.36452","0","0","9","6","byzone","0","0","7.0524487","14","1448","12281.8847","8730.497","3551.3877","-","3-AnDreviZ-WF_PROZIN-PrivacKadall"
"PrivacKadall","3","14","0","0","0","0","0","0","0","5","5","byplayer","0","0","-","9","1170","5734.5483","5734.5483","-","-","3-AnDreviZ-WF_PROZIN-PrivacKadall"
"LuckLose","4","16","0","0","0","0","22.534534","0","0","0","0","byzone","1","0","-","9","1342","10871.2952","7392.303","3478.9922","-","4-LuckLose-MatheusCenorao-El_gasolino-DEXXX777"
"MatheusCenorao","4","6","1","0","1","0","45.894","0","0","7","2","byplayer","0","0","52.37835","7","1311","10081.396","7690.697","2390.699","-","4-LuckLose-MatheusCenorao-El_gasolino-DEXXX777"
"El_gasolino","4","15","0","0","0","0","297.29462","1","1","18","5","byplayer","0","0","-","3","1421","10329.7197","8126.188","2203.5317","-","4-LuckLose-MatheusCenorao-El_gasolino-DEXXX777"
"DEXXX777","5","18","0","0","0","0","39.650406","0","1","3","3","byplayer","2","0","-","8","1201","9593.4243","7022.5","2570.9243","-","4-LuckLose-MatheusCenorao-El_gasolino-DEXXX777"
"decops12","5","17","0","0","0","0","114.102394","0","0","0","4","byplayer","0","0","-","10","1374","8385.67076","7814.541","571.12976","-","5-decops12"
"MAGO12K","6","19","0","0","0","0","190.3664","0","0","0","3","byplayer","0","0","-","8","837","11474.2984","5695.7144","5778.584","-","6-MAGO12K-Ypnus-M4T4_BOI"
"Ypnus","6","20","0","0","0","0","0","0","0","3","3","byplayer","0","0","-","6","837","11267.3806","5751.571","5515.8096","-","6-MAGO12K-Ypnus-M4T4_BOI"
"M4T4_BOI","6","7","1","0","1","1","100","0","1","0","4","byplayer","0","0","32.955963","6","837","11192.2368","5931.9824","5260.2544","-","6-MAGO12K-Ypnus-M4T4_BOI"
"AllbertWesker","7","21","0","0","0","0","19.8","0","0","1","2","byplayer","0","0","-","9","586","7054.6881","6142.5938","912.0943","-","7-AllbertWesker-IIBLAST-STRAT_FPS"
"IIBLAST","7","22","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","9","567","6627.2489","5768.1177","859.1312","-","7-AllbertWesker-IIBLAST-STRAT_FPS"
"STRAT_FPS","7","8","1","0","1","0","121.600006","0","0","3","2","byplayer","0","0","10.046123","8","565","6831.3077","5958.18","873.1277","-","7-AllbertWesker-IIBLAST-STRAT_FPS"
"0_justiceiro","8","9","1","0","1","0","276.35266","0","1","0","0","byplayer","0","0","13.795934","8","566","7357.6587","7357.6587","-","-","8-0_justiceiro"
"TEXAS3006","9","23","0","0","0","0","108.74851","0","0","1","0","byplayer","0","0","-","10","387","6250.449","6250.449","-","-","9-TEXAS3006"
"Racha_Cucaa","10","24","0","0","0","0","29.04","0","0","0","0","byplayer","0","0","-","1","116","4701.996","4701.996","-","-","10-Racha_Cucaa"
