Name,Kills,Damage Dealt,Assists,Win Place,Time Survived,Headshot Kills
xJMaRcox,0,621.02,0,7,955,0
AdriMau,7,713.71,4,7,986,7
MBSILVEIRA,6,166.87,3,7,997,5
Perobande,3,86.65,0,7,957,3
STRAT_FPS,3,627.67,1,16,1197,1
MESTRE-MCS,1,325.14,1,16,1209,0
BLANKSZ1,5,138.14,1,16,1121,0
AllbertWesker,1,187.23,1,16,1144,0
IIBLAST,6,247.77,1,16,1125,2
TEXAS3006,7,405.3,2,15,1959,6
XxWarlockLFxX,7,843.48,3,15,1916,7
Lukyne_marth3,3,335.8,0,15,1889,3
JuizoFinaI,5,313.47,3,15,1953,0
s33nt7,4,534.8,3,15,1974,4
M4KTu1,1,448.35,4,6,1395,0
playerVNC,8,229.65,2,6,1321,0
xSINISTRO,4,508.73,0,6,1352,3
Viniciusribeiro,1,396.51,2,6,1309,0
DanyloFLY,1,312.2,1,6,1314,1
koszz,8,790.56,0,8,1832,1
vim_do_lite,0,147.76,3,8,1812,0
llLordSparkll,5,447.28,1,8,1822,2
Oboneco,8,737.84,4,8,1842,8
Hugo197,8,805.71,4,8,1851,1
MAGO12K,6,637.82,3,3,1256,4
M4T4_BOI,7,611.17,4,3,1258,3
CAPIVARA-CALVA,7,314.22,2,3,1250,3
fidalgo,5,245.37,0,3,1302,2
Ibuprofeno_800mg,2,865.34,3,3,1212,0
AnDreviZ,7,396.78,3,12,2034,3
WF_PROZIN,3,514.51,1,12,1984,3
SaydomeiOficial,7,335.31,4,12,1960,2
EdlyCruz,2,649.87,1,12,1944,0
Racha_Cucaa,7,380.56,4,14,1535,0
JASONVOORHEES13K,3,869.69,2,14,1525,2
J4P4XX,2,616.68,1,14,1567,1
PHILLROX,8,349.6,1,14,1559,4
Baiano116,8,763.23,1,14,1583,8
The-BiIL,2,607.42,2,15,812,0
El_gasolino,6,494.78,1,15,815,0
LuckLose,0,315.27,4,15,880,0
DEXXX777,6,876.74,0,15,807,4
MateusCenourao,6,27.56,1,15,795,1
BielCalvo00,0,766.81,3,4,1453,0
LaygO_0,8,55.48,0,4,1503,6
decops12,7,392.19,3,4,1476,4
sevenmaalkkj,2,126.28,4,4,1504,0
SAMURUCUCA,2,474.27,4,4,1507,1
Spawnsbg,0,622.86,4,12,946,0
